u_name,architecture,entertainment,nature,count_beaches,count_shops,count_wintersports,mean_culinary,mean_sustainability,count_hiking
HTI,68,80.0,352.0,485.0,347.0,0.0,4.0075,64.76752715601393,64.0
IDN_SU,168,104.0,193.0,1183.0,1437.0,1.0,4.57,70.1628973389356,14.0
POL,386,115.0,437.0,2990.0,1797.0,141.0,4.5,81.8001755577756,2.0
USA_TX,233,346.0,250.0,180.0,536.0,10.0,4.48,75.9143970524574,2603.0
ZMB,6,8.0,33.0,48.0,97.0,0.0,4.2,55.28993071288075,1.0
ARM,551,110.0,199.0,438.0,257.0,8.0,4.116666666666666,73.9342209768989,106.0
MOZ,14,6.0,53.0,85.0,39.0,0.0,4.2,54.14477864437789,0.0
CUB,19,8.0,18.0,672.0,91.0,0.0,3.97,74.1356162621628,0.0
JOR,149,19.0,31.0,74.0,99.0,0.0,4.04,69.8747857926387,2.0
FRA,2049,351.0,1445.0,8566.0,1517.0,351.0,4.55,82.0483427107206,256.0
SOM,9,4.0,20.0,66.0,3.0,0.0,3.950000000000001,48.0272311893988,0.0
FSM,11,7.0,84.0,,,,,,
URY,29,16.0,30.0,289.0,25.0,0.0,3.96,77.7383736058059,0.0
CHL_NC,47,38.0,169.0,599.0,439.0,11.0,4.42,73.685218767507,50.0
BOL,9,13.0,1091.0,186.0,103.0,0.0,4.11,68.8506545709193,2.0
LBY,8,8.0,15.0,208.0,148.0,0.0,3.92,71.40218968041764,0.0
USA_NE,539,363.0,1402.0,3937.0,505.0,70.0,4.48,75.9143970524574,20000.0
ITA,1748,259.0,1578.0,5638.0,1734.0,318.0,4.65,78.7868360707919,272.0
PRT_IS,19,4.0,33.0,,,,,,
IND_SO,646,36.0,231.0,510.0,1151.0,0.0,4.52,70.1628973389356,28.0
SEN,106,90.0,160.0,763.0,539.0,1.0,3.88,56.48983201455128,1.0
GTM,26,17.0,108.0,441.0,277.0,0.0,3.972,61.991540747549,13.0
GUY,19,20.0,102.0,35.0,23.0,0.0,4.259583333333333,67.8225440085005,0.0
COM,17,13.0,38.0,0.0,0.0,0.0,4.2,57.51830954374816,0.0
QAT,2,27.0,3.0,146.0,100.0,0.0,3.94,64.98989044435955,0.0
BHS,2,,,,,,,,
USA_HA,30,10.0,50.0,357.0,76.0,1.0,4.48,75.9143970524574,20000.0
PRY,7,20.0,25.0,90.0,223.0,0.0,4.259583333333333,68.8406133435192,7.0
,4265,694.0,,,,,,,
ARE,31,19.0,12.0,609.0,261.0,1.0,4.075454545454545,69.7147657293687,2.0
CRI,15,15.0,57.0,408.0,544.0,0.0,3.972,73.5568932582124,59.0
AUS_WE,30,26.0,260.0,2534.0,152.0,0.0,4.21,75.9041185128597,242.0
CND_BC,53,69.0,1735.0,4710.0,392.0,44.0,4.26,78.4967796820826,1250.0
ERI,44,11.0,203.0,211.0,40.0,0.0,3.9500000000000006,53.612553677678,1.0
USA_GP,143,215.0,414.0,419.0,335.0,2.0,4.48,75.9143970524574,20000.0
NPL,63,6.0,184.0,259.0,81.0,0.0,4.065,66.4696288716512,28.0
UGA,25,10.0,64.0,131.0,87.0,0.0,3.950000000000001,56.37786244405806,10.0
RUS_SO,118,18.0,117.0,1825.0,1207.0,9.0,4.28,73.786280015083,6.0
CND_ON,373,246.0,1092.0,3864.0,823.0,105.0,4.26,78.4967796820826,1250.0
CHN_NW,59,7.0,146.0,347.0,742.0,70.0,4.59,72.0081674854557,8.0
USA_SO,764,969.0,1804.0,2410.0,1413.0,33.0,4.48,75.9143970524574,20000.0
MEX_BC,1,5.0,18.0,143.0,162.0,0.0,4.56,69.705477680163,74.0
AFG,23,4.0,69.0,0.0,13.0,0.0,3.93,49.0056014387573,0.0
PNG,3,6.0,146.0,428.0,27.0,0.0,3.89,53.6044530381383,2.0
RUS_EA,4,5.0,539.0,3367.333333333333,2627.166666666667,263.8333333333333,4.28,73.786280015083,6.0
CND_PR,169,110.0,1185.0,966.0,274.0,40.0,4.26,78.4967796820826,1250.0
BLR,328,143.0,294.0,4856.0,2199.0,50.0,4.053333333333334,77.5491216407775,4.0
MNG,18,5.0,97.0,24.0,71.0,1.0,4.3825,64.6943664213564,1.0
HUN,98,89.0,73.0,241.0,234.0,21.0,4.44,79.3934453385463,0.0
NZL,120,85.0,1297.0,1949.0,136.0,30.0,3.89,78.4333306547189,520.0
CND_QU,188,111.0,1623.0,3931.0,752.0,96.0,4.26,78.4967796820826,1250.0
NOR,1117,105.0,1547.0,3918.0,456.0,242.0,4.12,82.0044891456583,134.0
IRQ,83,58.0,33.0,42.0,248.0,0.0,3.94,64.6133187542849,0.0
