u_name;rating
ITA;4,65
JPN;4,65
GRC_ML;4,64
PRT;4,61
CHN_NW;4,59
CHN_NE;4,59
CHN_SW;4,59
CHN_SE;4,59
CHN_EA;4,59
CHN_SC;4,59
CHN_NO;4,59
IDN_RE;4,57
IDN_BA;4,57
IDN_SU;4,57
MEX_PC;4,56
MEX_YU;4,56
MEX_NO;4,56
MEX_BC;4,56
MEX_BA;4,56
FRA;4,55
ESP_ML;4,55
PER;4,54
IND_NE;4,52
IND_NE;3,91
IND_SO;4,52
IND_EA;4,52
IND_WE;4,52
IND_NO;4,52
BRA_SO;4,52
BRA_SE;4,52
BRA_NE;4,52
BRA_NO;4,52
BRA_CW;4,52
POL;4,5
ARG_SO;4,42
ARG_SO;4,5
ARG_NO;4,5
ARG_CE;4,5
TUR;4,49
USA_MA;4,48
USA_GP;4,48
USA_MW;4,48
USA_RM;4,48
USA_NE;4,48
USA_PN;4,48
USA_HA;4,48
USA_TX;4,48
USA_SO;4,48
USA_CA;4,48
USA_SW;4,48
USA_FL;4,48
USA_AL;4,48
THA_SO;4,48
THA_NO;4,48
PRK;4,46
KOR;4,46
SVN;4,45
SRB;4,45
HUN;4,44
VNM;4,44
IRN;4,42
ARG_SO;4,42
CHL_NC;4,42
LBN;4,4
ARM;4,39
SRB;4,39
COL;4,38
ROU;4,36
ROU;4,36
MYS_BO;4,57
MYS_BO;4,36
MYS_WE;4,36
DEU;4,35
PHL;4,35
NLD;4,35
CZE;4,34
AUT;4,34
CHE;4,33
EST;4,32
GBR_EN;4,31
DZA;4,31
RUS_WE;4,28
RUS_SO;4,28
RUS_EA;4,28
RUS_CE;4,28
CZE;4,28
CND_QU;4,26
CND_AT;4,26
CND_BC;4,26
CND_PR;4,26
CND_NO;4,26
CND_ON;4,26
SWE;4,25
NLD;4,24
MAR;4,24
GBR_SC;4,23
ECU;4,23
SWE;4,22
AUS_SO;4,21
EGY;4,21
ZAF;4,2
BLR;4,18
LBN;4,18
IRL;4,17
MYS_WE;4,16
PAK;4,15
HTI;4,14
NOR;4,12
BOL;4,11
ROU;4,11
ISR;4,1
JOR;4,1
SVN;4,08
FIN;4,03
TUN;4,02
HTI;4,01
HTI;4
ARM;4
VEN;3,99
BLR;3,99
BLR;3,99
LKA;3,98
JOR;3,98
CUB;3,97
UZB;3,97
ARM;3,96
TWN;3,96
URY;3,96
SRB;3,96
ERI;3,95
IRQ;3,94
QAT;3,94
AIA;3,92
LBY;3,92
THA_NO;3,92
AIA;3,92
CYP;3,91
IND_NE;3,91
KAZ;3,91
ALB;3,9
KGZ;3,9
MMR;3,9
NZL;3,89
SAU;3,89
IRL;3,89
BHS;3,89
HTI;3,88
GBR_EN;3,88
SEN;3,88
