u_name,result
AFG,14
AIA,28
ALB,10
ARE,124
ARG_CE,288
ARM,226
AUS_SO,140
AUT,42
BLR,546
BOL,70
BRA_CW,1132
BTN,14
BWA,80
CAF,54
CHE,86
CHL_NC,114
CHN_NO,1546
CND_ON,84
COL,350
COM,22
CRI,20
CUB,96
CYP,4
CZE,120
DEU,278
DZA,142
ECU,200
EGY,82
ERI,14
ESP_ML,286
EST,16
FIN,58
FRA,490
FSM,0
GBR_EN,98
GRC_ML,36
GRL,0
GTM,144
GUY,8
HND,60
HTI,178
HUN,88
IDN_RE,0
IDN_SU,444
IND_NE,454
IND_NO,1662
IRL,10
IRN,1590
IRQ,156
ISL,0
ITA,290
JOR,180
JPN,862
KAZ,374
KEN,270
KGZ,66
KOR,112
LBN,182
MAR,38
MDG,36
MDV,2
MEX_BA,668
MMR,18
MNG,56
MOZ,34
MRT,130
MYS_BO,0
MYS_WE,104
NIC,36
NLD,214
NOR,148
NPL,78
NZL,20
OMN,56
PAK,604
PAN,74
PER,242
PHL,200
PNG,4
POL,334
PRK,2
PRT,326
PRY,218
PYF,0
QAT,8
ROU,44
RUS_WE,2274
SAU,136
SEN,672
SLB,4
SOM,4
SRB,86
SVN,16
SWE,100
TCD,132
THA_NO,146
TUN,92
TUR,542
TWN,124
TZA,44
UGA,50
URY,6
USA_MA,982
UZB,46
VEN,488
VNM,96
ZAF,130
ZMB,36
