u_name,architecture,entertainment,nature,count_beaches,count_shops,count_wintersports,mean_culinary,mean_sustainability,count_hiking,architecture_bucket,entertainment_bucket,nature_bucket,count_beaches_bucket,count_shops_bucket,count_hiking_bucket,count_wintersports_original,count_wintersports_bucket,mean_sustainability_bucket,mean_culinary_bucket
IDN_SU,5.1298987149230735,4.653960350157523,5.267858159063328,7.076653815443951,7.271008538280992,0.6931471805599453,4.57,70.1628973389356,2.70805020110221,3.0,3.0,2.0,3.0,4.0,2.0,1.0,0.0,0.0,4.0
POL,5.958424693029782,4.7535901911063645,6.082218910376446,8.003363058629947,7.494430215031565,4.955827057601261,4.5,81.8001755577756,1.0986122886681098,4.0,4.0,3.0,4.0,4.0,1.0,141.0,3.0,4.0,3.0
USA_TX,5.455321115357702,5.849324779946859,5.5254529391317835,5.198497031265826,6.285998094508865,2.3978952727983707,4.48,75.9143970524574,7.86480400332846,3.0,4.0,3.0,1.0,3.0,4.0,10.0,1.0,3.0,3.0
ARM,6.313548046277095,4.709530201312334,5.298317366548036,6.0844994130751715,5.552959584921617,2.1972245773362196,4.116666666666666,73.9342209768989,4.672828834461906,4.0,3.0,2.0,2.0,2.0,3.0,8.0,1.0,2.0,0.0
FRA,7.6255950721324535,5.863631175598097,7.27655640271871,9.055672891964043,7.325148957955575,5.863631175598097,4.55,82.0483427107206,5.54907608489522,4.0,4.0,4.0,4.0,4.0,4.0,351.0,4.0,4.0,4.0
FSM,2.4849066497880004,2.0794415416798357,4.442651256490317,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
CHL_NC,3.871201010907891,3.6635616461296463,5.135798437050262,6.396929655216146,6.0867747269123065,2.4849066497880004,4.42,73.685218767507,3.9318256327243257,2.0,2.0,2.0,3.0,3.0,3.0,11.0,1.0,1.0,2.0
USA_NE,6.29156913955832,5.8971538676367405,7.246368080102461,8.278428259199071,6.226536669287466,4.2626798770413155,4.48,75.9143970524574,9.90353755128617,4.0,4.0,4.0,4.0,3.0,0.0,70.0,2.0,3.0,3.0
ITA,7.466799475018602,5.560681631015528,7.364547014255642,8.637462023807181,7.45876269238096,5.765191102784844,4.65,78.7868360707919,5.60947179518496,4.0,4.0,4.0,4.0,4.0,4.0,318.0,3.0,3.0,0.0
PRT_IS,2.995732273553991,1.6094379124341003,3.5263605246161616,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
SEN,4.672828834461906,4.51085950651685,5.081404364984463,6.638567789166521,6.29156913955832,0.6931471805599453,3.88,56.48983201455128,0.6931471805599453,2.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
BHS,1.0986122886681098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
USA_HA,3.4339872044851463,2.3978952727983707,3.9318256327243257,5.8805329864007,4.343805421853684,0.6931471805599453,4.48,75.9143970524574,9.90353755128617,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0
,8.358431899031295,6.543911845564792,,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ARE,3.4657359027997265,2.995732273553991,2.5649493574615367,6.413458957167357,5.568344503761097,0.6931471805599453,4.075454545454545,69.7147657293687,1.0986122886681098,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0
CND_BC,3.9889840465642745,4.248495242049359,7.459338895220296,8.45765547870004,5.973809611869261,3.8066624897703196,4.26,78.4967796820826,7.1316985104669115,2.0,3.0,4.0,4.0,2.0,4.0,44.0,2.0,3.0,1.0
USA_GP,4.969813299576001,5.375278407684165,6.028278520230698,6.040254711277414,5.817111159963204,1.0986122886681098,4.48,75.9143970524574,9.90353755128617,3.0,4.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,3.0
RUS_SO,4.77912349311153,2.9444389791664403,4.770684624465665,7.509883061154913,7.0967213784947605,2.302585092994046,4.28,73.786280015083,1.9459101490553132,2.0,1.0,2.0,3.0,4.0,1.0,9.0,1.0,1.0,1.0
