u_name,architecture_df1,entertainment_df1,nature_df1,beach_df1,shopping_df1,hiking_df1,culinary_df1,wintersports_df1,ParentRegion,Region,costPerWeek,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,safety,nature_df2,hiking_df2,beach_df2,watersports,entertainment_df2,wintersports_df2,culture,culinary_df2,architecture_df2,shopping_df2,differences
IDN_SU,+,+,o,+,++,o,++,--,Indonesia,Sumatra and Java,400,--,-,o,o,++,++,++,++,+,o,-,--,,+,+,o,+,o,--,+,o,+,o,entertainment is different; nature is different; beach is different; shopping is different; hiking is different; culinary is different; 
POL,++,++,+,++,++,-,+,+,Eastern Europe,Poland,350,,,,,,,,,,,,,,o,-,-,-,o,--,o,o,o,o,architecture is different; entertainment is different; nature is different; beach is different; shopping is different; culinary is different; wintersports is different; 
USA_TX,+,++,+,-,+,++,+,-,USA,USA Texas,600,-,o,+,++,++,+,o,o,++,+,o,-,,-,-,o,o,o,-,+,o,o,o,architecture is different; entertainment is different; nature is different; beach is different; shopping is different; hiking is different; culinary is different; 
ARM,++,+,o,o,o,+,--,-,Russland and Caucasus,Caucasus,400,--,--,-,o,+,++,+,++,+,o,-,--,-,o,-,-,--,-,-,o,o,o,-,architecture is different; entertainment is different; beach is different; shopping is different; hiking is different; culinary is different; 
FRA,++,++,++,++,++,++,++,++,Central Europe,France,420,,,,,,,,,,,,,,+,+,+,o,o,o,+,+,+,+,architecture is different; entertainment is different; nature is different; beach is different; shopping is different; hiking is different; culinary is different; wintersports is different; 
FSM,--,--,-,--,--,--,--,--,Pacific,Micronesia,750,,,,,,,,,,,,,,+,-,++,+,-,--,+,o,--,-,entertainment is different; nature is different; beach is different; shopping is different; hiking is different; culinary is different; 
CHL_NC,o,o,o,+,+,+,o,-,South America,Chile North and Central,400,+,++,++,++,+,o,o,o,++,++,++,+,+,+,o,--,-,o,--,+,o,o,o,nature is different; beach is different; shopping is different; hiking is different; wintersports is different; 
USA_NE,++,++,++,++,+,--,+,o,USA,USA New England,600,--,--,-,o,+,++,++,++,++,++,-,--,,+,+,-,o,o,o,+,+,+,-,architecture is different; entertainment is different; nature is different; beach is different; shopping is different; hiking is different; 
ITA,++,++,++,++,++,++,--,+,Southern Europe,Italy and Malta,350,,,,,,,,,,,,,,+,+,+,+,o,--,++,+,++,o,entertainment is different; nature is different; beach is different; shopping is different; hiking is different; culinary is different; wintersports is different; 
PRT_IS,-,--,--,--,--,--,--,--,Southern Europe,"Portugal, islands",350,,,,,,,,,,,,,,+,+,+,+,o,--,+,o,o,-,architecture is different; entertainment is different; nature is different; beach is different; shopping is different; hiking is different; culinary is different; 
